云南卫视高清	rtp://239.86.2.12:1234
陕西卫视高清	rtp://239.86.2.13:1234
北京卡酷高清	rtp://239.86.2.14:1234
青海卫视高清	rtp://239.86.2.15:1234
山东教育卫视	rtp://239.86.2.16:1234
炫动卡通		rtp://239.86.2.17:1234
四川康巴卫视	rtp://239.86.2.18:1234

中国天气		rtp://239.86.2.20:1234
江西卫视高清	rtp://239.86.2.21:1234
新影-老故事	rtp://239.86.2.22:1234
书画		rtp://239.86.2.23:1234
中华特产		rtp://239.86.2.24:1234
宁乡综合高清	rtp://239.86.2.25:1234
宁乡综合		rtp://239.86.2.26:1234
风云音乐高清	rtp://239.86.2.27:1234
风云足球高清	rtp://239.86.2.28:1234
怀旧剧场高清	rtp://239.86.2.29:1234
女性时尚高清	rtp://239.86.2.30:1234
文化精品高清	rtp://239.86.2.31:1234
世界地理高清	rtp://239.86.2.32:1234
央视台球高清	rtp://239.86.2.33:1234
兵器科技高清	rtp://239.86.2.34:1234
电视指南高清	rtp://239.86.2.35:1234
高尔网球高清	rtp://239.86.2.36:1234
第一剧场高清	rtp://239.86.2.37:1234
风云剧场高清	rtp://239.86.2.38:1234


安徽卫视高清	rtp://239.86.2.41:1234
桂东融媒高清	rtp://239.86.2.42:1234
衡阳融媒高清	rtp://239.86.2.43:1234
溆浦融媒高清	rtp://239.86.2.44:1234
嘉丽购高清	rtp://239.86.2.45:1234
EETV生态环境	rtp://239.86.2.46:1234
茶陵融媒		rtp://239.86.2.47:1234
三沙卫视		rtp://239.86.2.48:1234
道县综合高清	rtp://239.86.2.49:1234
延边卫视		rtp://239.86.2.50:1234
郴州综合		rtp://239.86.2.51:1234
邵阳公共		rtp://239.86.2.52:1234
武冈综合高清	rtp://239.86.2.53:1234
湘西综合高清	rtp://239.86.2.54:1234
湘西公共高清	rtp://239.86.2.55:1234
津市融媒高清	rtp://239.86.2.56:1234
汽摩		rtp://239.86.2.57:1234
环球奇观		rtp://239.86.2.58:1234
新影中学生	rtp://239.86.2.59:1234
新化融媒高清	rtp://239.86.2.60:1234
CETV早教高清	rtp://239.86.2.61:1234
临澧综合高清	rtp://239.86.2.62:1234
长沙县综合高清	rtp://239.86.2.63:1234
CCTV 4K 超清	rtp://239.86.2.64:1234
CCTV 4K		rtp://239.86.2.65:1234
优购物高清	rtp://239.86.2.66:1234
洞口综合		rtp://239.86.2.67:1234
洞口综合高清	rtp://239.86.2.68:1234
安乡新闻		rtp://239.86.2.69:1234
安乡新闻高清	rtp://239.86.2.70:1234
桃源综合		rtp://239.86.2.71:1234
桃源综合高清	rtp://239.86.2.72:1234
湘乡新闻综合	rtp://239.86.2.73:1234
湘乡综合高清	rtp://239.86.2.74:1234
蓝山新闻综合	rtp://239.86.2.75:1234
蓝山综合高清	rtp://239.86.2.76:1234
北京科纪		rtp://239.86.2.77:1234
北京科纪高清	rtp://239.86.2.78:1234
益阳新闻综合	rtp://239.86.2.79:1234
郴州公共高清	rtp://239.86.2.80:1234
郴州公共		rtp://239.86.2.81:1234
魅力足球高清	rtp://239.86.2.82:1234
魅力足球		rtp://239.86.2.83:1234
法制天地高清	rtp://239.86.2.84:1234
法制天地		rtp://239.86.2.85:1234
金色学堂高清	rtp://239.86.2.86:1234
金色学堂		rtp://239.86.2.87:1234
游戏风云高清	rtp://239.86.2.88:1234
游戏风云		rtp://239.86.2.89:1234
乐游高清		rtp://239.86.2.90:1234
乐游		rtp://239.86.2.91:1234
生活时尚高清	rtp://239.86.2.92:1234
生活时尚		rtp://239.86.2.93:1234
东方财经高清	rtp://239.86.2.94:1234
东方财经		rtp://239.86.2.95:1234
欢笑剧场4K	rtp://239.86.2.96:1234
欢笑剧场		rtp://239.86.2.97:1234
都市剧场高清	rtp://239.86.2.98:1234
都市剧场		rtp://239.86.2.99:1234
动漫秀场高清	rtp://239.86.2.100:1234
动漫秀场		rtp://239.86.2.101:1234
冷水江综合高清	rtp://239.86.2.102:1234
冷水江综合	rtp://239.86.2.103:1234
湘潭县综合高清	rtp://239.86.2.104:1234
湘潭县综合	rtp://239.86.2.105:1234
长沙文旅高清	rtp://239.86.2.106:1234
长沙文旅		rtp://239.86.2.107:1234


新田综合高清	rtp://239.86.2.118:1234
中方台高清	rtp://239.86.2.119:1234
麻阳综合高清	rtp://239.86.2.120:1234
新田综合		rtp://239.86.2.121:1234
中方台		rtp://239.86.2.122:1234
麻阳综合		rtp://239.86.2.123:1234


中国交通高清	rtp://239.86.2.136:1234
中国交通		rtp://239.86.2.137:1234
